time,x,y,z,yaw,linx,liny,linz,yaw_rate,xd,yd,zd,yawd,vxd,vyd,vzd,wyawd,cmd_linx,cmd_liny,cmd_linz,cmd_angz
1762460026.784620,0.001021,0.039786,1.000000,0.237699,-0.002590,-0.025698,0.000000,-0.000799,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762460026.817954,0.001021,0.039786,1.000000,0.237699,-0.002590,-0.025698,0.000000,-0.000799,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762460026.851275,0.001268,0.037998,1.000000,0.238973,-0.002623,-0.025695,0.000000,0.002317,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762460026.884575,0.001485,0.036430,1.000000,0.238973,-0.002623,-0.025695,0.000000,0.002317,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762460026.917894,0.001485,0.036430,1.000000,0.238973,-0.002623,-0.025695,0.000000,0.002317,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762460026.951260,0.001711,0.034793,1.000000,0.238973,-0.002623,-0.025695,0.000000,0.002317,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762460026.984562,0.001711,0.034793,1.000000,0.238973,-0.002623,-0.025695,0.000000,0.002317,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762460027.017918,0.001960,0.033224,1.000000,0.238014,-0.001764,-0.021890,0.000000,0.001691,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762460027.051212,0.001960,0.033224,1.000000,0.238014,-0.001764,-0.021890,0.000000,0.001691,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762460027.084570,0.001960,0.033224,1.000000,0.238014,-0.001764,-0.021890,0.000000,0.001691,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762460027.117887,0.002224,0.031561,1.000000,0.238014,-0.001764,-0.021890,0.000000,0.001691,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762460027.151265,0.002224,0.031561,1.000000,0.238014,-0.001764,-0.021890,0.000000,0.001691,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762460027.184588,0.002385,0.030368,1.000000,0.238014,-0.002128,-0.020414,0.000000,0.001522,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762460027.217919,0.002385,0.030368,1.000000,0.238014,-0.002128,-0.020414,0.000000,0.001522,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762460027.251224,0.002588,0.028870,1.000000,0.237347,-0.002114,-0.020416,0.000000,-0.000178,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762460027.284590,0.002690,0.028108,1.000000,0.237347,-0.002114,-0.020416,0.000000,-0.000178,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762460027.317885,0.002690,0.028108,1.000000,0.237347,-0.002114,-0.020416,0.000000,-0.000178,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762460027.351212,0.002926,0.026363,1.000000,0.237347,-0.002114,-0.020416,0.000000,-0.000178,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
