time,x,y,z,yaw,linx,liny,linz,yaw_rate,xd,yd,zd,yawd,vxd,vyd,vzd,wyawd,cmd_linx,cmd_liny,cmd_linz,cmd_angz
1762406975.535635,-0.050384,0.000132,1.000000,1.160584,-0.006555,0.010687,0.000000,-0.000028,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762406975.569016,-0.050384,0.000132,1.000000,1.160584,-0.006555,0.010687,0.000000,-0.000028,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762406975.602300,-0.051184,0.000326,1.000000,1.160200,-0.002246,0.012861,0.000000,-0.000237,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762406975.635659,-0.051184,0.000326,1.000000,1.160200,-0.002246,0.012861,0.000000,-0.000237,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762406975.668964,-0.052080,0.000543,1.000000,1.160200,-0.002246,0.012861,0.000000,-0.000237,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762406975.702298,-0.052080,0.000543,1.000000,1.160200,-0.002246,0.012861,0.000000,-0.000237,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762406975.735646,-0.052938,0.000751,1.000000,1.160200,-0.002246,0.012861,0.000000,-0.000237,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762406975.769071,-0.052938,0.000751,1.000000,1.160200,-0.002246,0.012861,0.000000,-0.000237,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762406975.802346,-0.053367,0.000782,1.000000,1.160364,-0.002459,0.006979,0.000000,-0.000133,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762406975.835791,-0.053367,0.000782,1.000000,1.160364,-0.002459,0.006979,0.000000,-0.000133,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762406975.868956,-0.053880,0.000818,1.000000,1.160364,-0.002459,0.006979,0.000000,-0.000133,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762406975.902257,-0.053880,0.000818,1.000000,1.160364,-0.002459,0.006979,0.000000,-0.000133,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762406975.935664,-0.054403,0.000856,1.000000,1.160364,-0.002459,0.006979,0.000000,-0.000133,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762406975.968989,-0.054403,0.000856,1.000000,1.160364,-0.002459,0.006979,0.000000,-0.000133,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762406976.002354,-0.054668,0.001112,1.000000,1.160364,0.001978,0.005275,0.000000,-0.000120,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762406976.035660,-0.054668,0.001112,1.000000,1.160364,0.001978,0.005275,0.000000,-0.000120,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762406976.068942,-0.054929,0.001365,1.000000,1.160845,0.001981,0.005274,0.000000,0.001081,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762406976.102275,-0.054929,0.001365,1.000000,1.160845,0.001981,0.005274,0.000000,0.001081,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762406976.135655,-0.055216,0.001642,1.000000,1.160845,0.001981,0.005274,0.000000,0.001081,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762406976.168987,-0.055216,0.001642,1.000000,1.160845,0.001981,0.005274,0.000000,0.001081,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762406976.202284,-0.055072,0.002015,1.000000,1.160085,0.006376,0.000274,0.000000,0.000499,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762406976.235606,-0.055072,0.002015,1.000000,1.160085,0.006376,0.000274,0.000000,0.000499,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762406976.268980,-0.054927,0.002391,1.000000,1.160085,0.006376,0.000274,0.000000,0.000499,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762406976.302238,-0.054927,0.002391,1.000000,1.160085,0.006376,0.000274,0.000000,0.000499,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762406976.335645,-0.054764,0.002814,1.000000,1.160085,0.006376,0.000274,0.000000,0.000499,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762406976.368942,-0.054764,0.002814,1.000000,1.160085,0.006376,0.000274,0.000000,0.000499,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762406976.402251,-0.053476,0.002463,1.000000,1.160022,0.002893,-0.019785,0.000000,0.000421,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762406976.435646,-0.053476,0.002463,1.000000,1.160022,0.002893,-0.019785,0.000000,0.000421,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762406976.468986,-0.052110,0.002092,1.000000,1.160022,0.002893,-0.019785,0.000000,0.000421,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762406976.502257,-0.052110,0.002092,1.000000,1.160022,0.002893,-0.019785,0.000000,0.000421,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762406976.535675,-0.050917,0.001767,1.000000,1.160022,0.002893,-0.019785,0.000000,0.000421,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762406976.569008,-0.050917,0.001767,1.000000,1.160022,0.002893,-0.019785,0.000000,0.000421,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762406976.602303,-0.049144,0.000773,1.000000,1.160771,-0.002930,-0.028916,0.000000,0.000791,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762406976.635674,-0.049144,0.000773,1.000000,1.160771,-0.002930,-0.028916,0.000000,0.000791,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762406976.669030,-0.047459,-0.000171,1.000000,1.160771,-0.002930,-0.028916,0.000000,0.000791,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762406976.702300,-0.047459,-0.000171,1.000000,1.160771,-0.002930,-0.028916,0.000000,0.000791,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762406976.735671,-0.045034,-0.002059,1.000000,1.160771,-0.010157,-0.039578,0.000000,0.000712,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762406976.768988,-0.044118,-0.002771,1.000000,1.160771,-0.010157,-0.039578,0.000000,0.000712,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762406976.802285,-0.044118,-0.002771,1.000000,1.160771,-0.010157,-0.039578,0.000000,0.000712,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762406976.835667,-0.044118,-0.002771,1.000000,1.160771,-0.010157,-0.039578,0.000000,0.000712,0.096113,0.095916,1.000000,0.783002,0.235244,0.234120,0.000000,-0.023333,0.000000,0.000000,0.000000,0.000000
1762406976.868976,-0.041111,-0.005111,1.000000,1.160642,-0.010152,-0.039579,0.000000,0.000328,0.096113,0.095916,1.000000,0.783002,0.235244,0.234120,0.000000,-0.023333,0.000000,0.000000,0.000000,0.000000
1762406976.902278,-0.041111,-0.005111,1.000000,1.160642,-0.010152,-0.039579,0.000000,0.000328,0.117763,0.117399,1.000000,0.781614,0.235028,0.233256,0.000000,-0.013877,1.000000,-0.405120,0.000000,-1.000000
1762406976.935661,-0.038915,-0.006820,1.000000,1.160642,-0.010152,-0.039579,0.000000,0.000328,0.117763,0.117399,1.000000,0.781614,0.235028,0.233256,0.000000,-0.013877,1.000000,-0.405120,0.000000,-1.000000
1762406976.968945,-0.037670,-0.007788,1.000000,1.160642,-0.010152,-0.039579,0.000000,0.000328,0.117763,0.117399,1.000000,0.781614,0.235028,0.233256,0.000000,-0.013877,1.000000,-0.405120,0.000000,-1.000000
1762406977.002252,-0.037670,-0.007788,1.000000,1.160642,-0.010152,-0.039579,0.000000,0.000328,0.141238,0.140611,1.000000,0.779743,0.234737,0.232097,0.000000,-0.018712,0.931686,-0.370108,0.000000,-0.916739
1762406977.035693,-0.037670,-0.007788,1.000000,1.160642,-0.010152,-0.039579,0.000000,0.000328,0.141238,0.140611,1.000000,0.779743,0.234737,0.232097,0.000000,-0.018712,0.931686,-0.370108,0.000000,-0.916739
1762406977.069148,-0.034583,-0.010641,1.000000,1.160233,-0.014384,-0.041255,0.000000,0.000127,0.141238,0.140611,1.000000,0.779743,0.234737,0.232097,0.000000,-0.018712,0.931686,-0.370108,0.000000,-0.916739
1762406977.102413,-0.033487,-0.011655,1.000000,1.160233,-0.014384,-0.041255,0.000000,0.000127,0.164667,0.163672,1.000000,0.777489,0.234389,0.230710,0.000000,-0.022543,0.872886,-0.339085,0.000000,-0.843699
1762406977.135781,-0.033487,-0.011655,1.000000,1.160233,-0.014384,-0.041255,0.000000,0.000127,0.164667,0.163672,1.000000,0.777489,0.234389,0.230710,0.000000,-0.022543,0.872886,-0.339085,0.000000,-0.843699
1762406977.169072,-0.029899,-0.011987,1.000000,1.160233,0.015847,-0.048137,0.000000,0.000114,0.164667,0.163672,1.000000,0.777489,0.234389,0.230710,0.000000,-0.022543,0.872886,-0.339085,0.000000,-0.843699
1762406977.202343,-0.029899,-0.011987,1.000000,1.160233,0.015847,-0.048137,0.000000,0.000114,0.188082,0.186597,1.000000,0.774842,0.233982,0.229094,0.000000,-0.026469,0.820007,-0.310798,0.000000,-0.778040
1762406977.235772,-0.029899,-0.011987,1.000000,1.160233,0.015847,-0.048137,0.000000,0.000114,0.188082,0.186597,1.000000,0.774842,0.233982,0.229094,0.000000,-0.026469,0.820007,-0.310798,0.000000,-0.778040
1762406977.269074,-0.025114,-0.012431,1.000000,1.150925,0.016294,-0.047987,0.000000,-0.022626,0.188082,0.186597,1.000000,0.774842,0.233982,0.229094,0.000000,-0.026469,0.820007,-0.310798,0.000000,-0.778040
1762406977.302312,-0.023207,-0.012608,1.000000,1.150925,0.016294,-0.047987,0.000000,-0.022626,0.211427,0.209317,1.000000,0.771801,0.233518,0.227253,0.000000,-0.030409,0.773190,-0.285412,0.000000,-0.719991
1762406977.335809,-0.023207,-0.012608,1.000000,1.150925,0.016294,-0.047987,0.000000,-0.022626,0.211427,0.209317,1.000000,0.771801,0.233518,0.227253,0.000000,-0.030409,0.773190,-0.285412,0.000000,-0.719991
1762406977.369194,-0.023207,-0.012608,1.000000,1.150925,0.016294,-0.047987,0.000000,-0.022626,0.211427,0.209317,1.000000,0.771801,0.233518,0.227253,0.000000,-0.030409,0.773190,-0.285412,0.000000,-0.719991
1762406977.402379,-0.015048,-0.009889,1.000000,1.033785,0.064510,-0.055676,0.000000,-0.073448,0.234746,0.231854,1.000000,0.768352,0.232996,0.225185,0.000000,-0.034489,0.732566,-0.263418,0.000000,-0.666906
1762406977.435812,-0.012885,-0.009168,1.000000,1.033785,0.064510,-0.055676,0.000000,-0.073448,0.234746,0.231854,1.000000,0.768352,0.232996,0.225185,0.000000,-0.034489,0.732566,-0.263418,0.000000,-0.666906
1762406977.469114,-0.012885,-0.009168,1.000000,1.033785,0.064510,-0.055676,0.000000,-0.073448,0.234746,0.231854,1.000000,0.768352,0.232996,0.225185,0.000000,-0.034489,0.732566,-0.263418,0.000000,-0.666906
1762406977.502415,-0.007209,-0.007275,1.000000,1.033785,0.064510,-0.055676,0.000000,-0.073448,0.257970,0.254126,1.000000,0.764496,0.232418,0.222899,0.000000,-0.038561,0.694200,-0.239878,0.000000,-0.627037
1762406977.535841,-0.007209,-0.007275,1.000000,1.033785,0.064510,-0.055676,0.000000,-0.073448,0.257970,0.254126,1.000000,0.764496,0.232418,0.222899,0.000000,-0.038561,0.694200,-0.239878,0.000000,-0.627037
