time,x,y,z,yaw,linx,liny,linz,yaw_rate,xd,yd,zd,yawd,vxd,vyd,vzd,wyawd,cmd_linx,cmd_liny,cmd_linz,cmd_angz
1762453309.099837,0.041695,0.036829,1.000000,-0.155762,0.020413,0.050479,0.000000,0.002388,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762453309.133265,0.041695,0.036829,1.000000,-0.155762,0.020413,0.050479,0.000000,0.002388,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762453309.166502,0.043804,0.040347,1.000000,-0.155762,0.020413,0.050479,0.000000,0.002388,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762453309.199878,0.043804,0.040347,1.000000,-0.155762,0.020413,0.050479,0.000000,0.002388,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762453309.233206,0.045879,0.041826,1.000000,-0.155762,0.029919,0.029301,0.000000,0.002149,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762453309.266497,0.045879,0.041826,1.000000,-0.155762,0.029919,0.029301,0.000000,0.002149,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762453309.299821,0.048133,0.043432,1.000000,-0.156107,0.029908,0.029312,0.000000,0.001110,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762453309.333219,0.048133,0.043432,1.000000,-0.156107,0.029908,0.029312,0.000000,0.001110,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762453309.366498,0.050480,0.045104,1.000000,-0.156107,0.029908,0.029312,0.000000,0.001110,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762453309.399859,0.050480,0.045104,1.000000,-0.156107,0.029908,0.029312,0.000000,0.001110,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762453309.433175,0.050713,0.047410,1.000000,-0.156107,-0.001975,0.035788,0.000000,0.000999,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762453309.466528,0.050713,0.047410,1.000000,-0.156107,-0.001975,0.035788,0.000000,0.000999,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762453309.499848,0.050979,0.050031,1.000000,-0.156881,-0.002003,0.035787,0.000000,-0.001015,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762453309.533191,0.050979,0.050031,1.000000,-0.156881,-0.002003,0.035787,0.000000,-0.001015,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762453309.566530,0.051212,0.052334,1.000000,-0.156881,-0.002003,0.035787,0.000000,-0.001015,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762453309.599849,0.051212,0.052334,1.000000,-0.156881,-0.002003,0.035787,0.000000,-0.001015,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762453309.633243,0.051445,0.054633,1.000000,-0.156881,-0.002003,0.035787,0.000000,-0.001015,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762453309.666480,0.051114,0.056350,1.000000,-0.156881,-0.010461,0.028925,0.000000,-0.000913,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762453309.699832,0.051114,0.056350,1.000000,-0.156881,-0.010461,0.028925,0.000000,-0.000913,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762453309.733151,0.051114,0.056350,1.000000,-0.156881,-0.010461,0.028925,0.000000,-0.000913,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762453309.766454,0.050705,0.058477,1.000000,-0.156641,-0.010454,0.028928,0.000000,-0.000229,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762453309.799876,0.050705,0.058477,1.000000,-0.156641,-0.010454,0.028928,0.000000,-0.000229,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762453309.833223,0.050286,0.060159,1.000000,-0.156641,-0.009224,0.021751,0.000000,-0.000206,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762453309.866525,0.050286,0.060159,1.000000,-0.156641,-0.009224,0.021751,0.000000,-0.000206,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762453309.899811,0.049896,0.061722,1.000000,-0.213150,-0.010438,0.021195,0.000000,-0.123789,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762453309.933183,0.049896,0.061722,1.000000,-0.213150,-0.010438,0.021195,0.000000,-0.123789,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762453309.966489,0.049514,0.063252,1.000000,-0.213150,-0.010438,0.021195,0.000000,-0.123789,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762453309.999876,0.049514,0.063252,1.000000,-0.213150,-0.010438,0.021195,0.000000,-0.123789,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762453310.033174,0.049170,0.064630,1.000000,-0.213150,-0.010438,0.021195,0.000000,-0.123789,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762453310.066504,0.049170,0.064630,1.000000,-0.213150,-0.010438,0.021195,0.000000,-0.123789,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762453310.099974,0.048842,0.065981,1.000000,-0.214811,-0.008935,0.018356,0.000000,-0.112181,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
