time,x,y,z,yaw,linx,liny,linz,yaw_rate,xd,yd,zd,yawd,vxd,vyd,vzd,wyawd,cmd_linx,cmd_liny,cmd_linz,cmd_angz
1762411397.751724,0.011964,0.068082,1.000000,0.826926,-0.010727,0.011219,0.000000,0.000000,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762411397.785077,0.011964,0.068082,1.000000,0.826926,-0.010727,0.011219,0.000000,0.000000,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762411397.818484,0.010848,0.068061,1.000000,0.826562,-0.010731,0.011215,0.000000,-0.000828,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762411397.851773,0.010848,0.068061,1.000000,0.826562,-0.010731,0.011215,0.000000,-0.000828,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762411397.885208,0.009933,0.068043,1.000000,0.826562,-0.010731,0.011215,0.000000,-0.000828,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762411397.918400,0.009933,0.068043,1.000000,0.826562,-0.010731,0.011215,0.000000,-0.000828,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762411397.951780,0.009933,0.068043,1.000000,0.826562,-0.010731,0.011215,0.000000,-0.000828,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762411397.985141,0.009190,0.067559,1.000000,0.825695,-0.009871,0.002498,0.000000,-0.001286,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762411398.018403,0.008733,0.067261,1.000000,0.825695,-0.009871,0.002498,0.000000,-0.001286,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762411398.051830,0.008733,0.067261,1.000000,0.825695,-0.009871,0.002498,0.000000,-0.001286,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762411398.085139,0.008197,0.066911,1.000000,0.825695,-0.009871,0.002498,0.000000,-0.001286,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762411398.118423,0.008197,0.066911,1.000000,0.825695,-0.009871,0.002498,0.000000,-0.001286,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762411398.151723,0.007356,0.066608,1.000000,0.825695,-0.012463,0.006476,0.000000,-0.001158,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762411398.185057,0.007356,0.066608,1.000000,0.825695,-0.012463,0.006476,0.000000,-0.001158,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762411398.218365,0.006539,0.066313,1.000000,0.825625,-0.012463,0.006475,0.000000,-0.001217,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762411398.251698,0.006539,0.066313,1.000000,0.825625,-0.012463,0.006475,0.000000,-0.001217,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762411398.285140,0.005667,0.065998,1.000000,0.825625,-0.012463,0.006475,0.000000,-0.001217,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762411398.318370,0.005667,0.065998,1.000000,0.825625,-0.012463,0.006475,0.000000,-0.001217,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762411398.351700,0.005016,0.065419,1.000000,0.825544,-0.012328,0.001227,0.000000,-0.001140,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762411398.385072,0.005016,0.065419,1.000000,0.825544,-0.012328,0.001227,0.000000,-0.001140,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762411398.418373,0.004423,0.064893,1.000000,0.825544,-0.012328,0.001227,0.000000,-0.001140,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762411398.451711,0.004423,0.064893,1.000000,0.825544,-0.012328,0.001227,0.000000,-0.001140,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762411398.485048,0.003763,0.064307,1.000000,0.825544,-0.012328,0.001227,0.000000,-0.001140,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762411398.518377,0.003763,0.064307,1.000000,0.825544,-0.012328,0.001227,0.000000,-0.001140,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762411398.551723,0.003843,0.063251,1.000000,0.826569,-0.009456,-0.010131,0.000000,-0.000539,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762411398.585084,0.003843,0.063251,1.000000,0.826569,-0.009456,-0.010131,0.000000,-0.000539,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762411398.618350,0.003906,0.062425,1.000000,0.826569,-0.009456,-0.010131,0.000000,-0.000539,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762411398.651715,0.003906,0.062425,1.000000,0.826569,-0.009456,-0.010131,0.000000,-0.000539,0.023638,0.023635,1.000000,0.785336,0.235610,0.235580,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1762411398.685088,0.003977,0.061487,1.000000,0.826569,-0.009456,-0.010131,0.000000,-0.000539,0.023638,0.023635,1.000000,0.785336,0.235610,0.235580,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1762411398.718509,0.003977,0.061487,1.000000,0.826569,-0.009456,-0.010131,0.000000,-0.000539,0.023638,0.023635,1.000000,0.785336,0.235610,0.235580,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1762411398.751717,0.004892,0.059925,1.000000,0.826569,-0.008586,-0.028092,0.000000,-0.000486,0.047199,0.047176,1.000000,0.784964,0.235551,0.235347,0.000000,-0.003717,0.000000,0.000000,0.000000,0.000000
1762411398.785197,0.004892,0.059925,1.000000,0.826569,-0.008586,-0.028092,0.000000,-0.000486,0.047199,0.047176,1.000000,0.784964,0.235551,0.235347,0.000000,-0.003717,0.000000,0.000000,0.000000,0.000000
1762411398.818374,0.005936,0.058143,1.000000,0.826728,-0.008590,-0.028091,0.000000,-0.000050,0.047199,0.047176,1.000000,0.784964,0.235551,0.235347,0.000000,-0.003717,0.000000,0.000000,0.000000,0.000000
1762411398.851732,0.005936,0.058143,1.000000,0.826728,-0.008590,-0.028091,0.000000,-0.000050,0.070737,0.070658,1.000000,0.784222,0.235435,0.234882,0.000000,-0.007426,0.000000,0.000000,0.000000,0.000000
1762411398.885209,0.007000,0.056327,1.000000,0.826728,-0.008590,-0.028091,0.000000,-0.000050,0.070737,0.070658,1.000000,0.784222,0.235435,0.234882,0.000000,-0.007426,0.000000,0.000000,0.000000,0.000000
1762411398.918408,0.007721,0.055352,1.000000,0.826728,-0.007103,-0.036951,0.000000,-0.000045,0.070737,0.070658,1.000000,0.784222,0.235435,0.234882,0.000000,-0.007426,0.000000,0.000000,0.000000,0.000000
1762411398.951697,0.007721,0.055352,1.000000,0.826728,-0.007103,-0.036951,0.000000,-0.000045,0.094252,0.094066,1.000000,0.783106,0.235260,0.234185,0.000000,-0.011152,0.000000,0.000000,0.000000,0.000000
1762411398.985059,0.007721,0.055352,1.000000,0.826728,-0.007103,-0.036951,0.000000,-0.000045,0.094252,0.094066,1.000000,0.783106,0.235260,0.234185,0.000000,-0.011152,0.000000,0.000000,0.000000,0.000000
1762411399.018352,0.009791,0.052553,1.000000,0.826830,-0.007107,-0.036950,0.000000,0.000191,0.094252,0.094066,1.000000,0.783106,0.235260,0.234185,0.000000,-0.011152,0.000000,0.000000,0.000000,0.000000
1762411399.051728,0.009791,0.052553,1.000000,0.826830,-0.007107,-0.036950,0.000000,0.000191,0.117806,0.117442,1.000000,0.781611,0.235027,0.233254,0.000000,-0.014951,0.000000,0.000000,0.000000,0.000000
1762411399.085069,0.011392,0.050388,1.000000,0.826830,-0.007107,-0.036950,0.000000,0.000191,0.117806,0.117442,1.000000,0.781611,0.235027,0.233254,0.000000,-0.014951,0.000000,0.000000,0.000000,0.000000
1762411399.118404,0.011392,0.050388,1.000000,0.826830,-0.007107,-0.036950,0.000000,0.000191,0.117806,0.117442,1.000000,0.781611,0.235027,0.233254,0.000000,-0.014951,0.000000,0.000000,0.000000,0.000000
1762411399.151716,0.012836,0.048494,1.000000,0.826830,-0.006850,-0.038593,0.000000,0.000172,0.141265,0.140637,1.000000,0.779741,0.234737,0.232096,0.000000,-0.018705,0.000000,0.000000,0.000000,0.000000
1762411399.185075,0.012836,0.048494,1.000000,0.826830,-0.006850,-0.038593,0.000000,0.000172,0.141265,0.140637,1.000000,0.779741,0.234737,0.232096,0.000000,-0.018705,0.000000,0.000000,0.000000,0.000000
1762411399.218388,0.014556,0.046237,1.000000,0.826797,-0.006849,-0.038593,0.000000,0.000077,0.141265,0.140637,1.000000,0.779741,0.234737,0.232096,0.000000,-0.018705,0.000000,0.000000,0.000000,0.000000
1762411399.251769,0.015386,0.045147,1.000000,0.826797,-0.006849,-0.038593,0.000000,0.000077,0.164709,0.163713,1.000000,0.777485,0.234388,0.230708,0.000000,-0.022562,0.000000,0.000000,0.000000,0.000000
1762411399.285234,0.015386,0.045147,1.000000,0.826797,-0.006849,-0.038593,0.000000,0.000077,0.164709,0.163713,1.000000,0.777485,0.234388,0.230708,0.000000,-0.022562,0.000000,0.000000,0.000000,0.000000
1762411399.318419,0.015386,0.045147,1.000000,0.826797,-0.006849,-0.038593,0.000000,0.000077,0.164709,0.163713,1.000000,0.777485,0.234388,0.230708,0.000000,-0.022562,0.000000,0.000000,0.000000,0.000000
1762411399.351725,0.017614,0.041952,1.000000,0.827098,-0.008741,-0.039407,0.000000,0.000232,0.188085,0.186601,1.000000,0.774842,0.233982,0.229094,0.000000,-0.026430,0.000000,0.000000,0.000000,0.000000
1762411399.385069,0.017614,0.041952,1.000000,0.827098,-0.008741,-0.039407,0.000000,0.000232,0.188085,0.186601,1.000000,0.774842,0.233982,0.229094,0.000000,-0.026430,0.000000,0.000000,0.000000,0.000000
1762411399.418390,0.019232,0.039630,1.000000,0.827098,-0.008741,-0.039407,0.000000,0.000232,0.188085,0.186601,1.000000,0.774842,0.233982,0.229094,0.000000,-0.026430,0.000000,0.000000,0.000000,0.000000
1762411399.451737,0.019963,0.038581,1.000000,0.827098,-0.008741,-0.039407,0.000000,0.000232,0.211406,0.209296,1.000000,0.771804,0.233519,0.227255,0.000000,-0.030376,0.000000,0.000000,0.000000,0.000000
1762411399.485058,0.019963,0.038581,1.000000,0.827098,-0.008741,-0.039407,0.000000,0.000232,0.211406,0.209296,1.000000,0.771804,0.233519,0.227255,0.000000,-0.030376,0.000000,0.000000,0.000000,0.000000
1762411399.518409,0.021141,0.036773,1.000000,0.827098,-0.008216,-0.032205,0.000000,0.000209,0.211406,0.209296,1.000000,0.771804,0.233519,0.227255,0.000000,-0.030376,0.000000,0.000000,0.000000,0.000000
1762411399.551876,0.021141,0.036773,1.000000,0.827098,-0.008216,-0.032205,0.000000,0.000209,0.234697,0.231807,1.000000,0.768360,0.232997,0.225190,0.000000,-0.034441,0.000000,0.000000,0.000000,0.000000
1762411399.585066,0.022398,0.034843,1.000000,0.827751,-0.008237,-0.032199,0.000000,0.001758,0.234697,0.231807,1.000000,0.768360,0.232997,0.225190,0.000000,-0.034441,0.000000,0.000000,0.000000,0.000000
1762411399.618488,0.022398,0.034843,1.000000,0.827751,-0.008237,-0.032199,0.000000,0.001758,0.234697,0.231807,1.000000,0.768360,0.232997,0.225190,0.000000,-0.034441,0.000000,0.000000,0.000000,0.000000
1762411399.651802,0.023726,0.032804,1.000000,0.827751,-0.008237,-0.032199,0.000000,0.001758,0.234697,0.231807,1.000000,0.768360,0.232997,0.225190,0.000000,-0.034441,0.000000,0.000000,0.000000,0.000000
