time,x,y,z,yaw,linx,liny,linz,yaw_rate,xd,yd,zd,yawd,vxd,vyd,vzd,wyawd,cmd_linx,cmd_liny,cmd_linz,cmd_angz
1762412664.000439,0.045730,0.085544,1.000000,0.227888,0.009537,0.026720,0.000000,-0.000127,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762412664.033784,0.045936,0.087328,1.000000,0.227888,0.009537,0.026720,0.000000,-0.000127,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762412664.067168,0.045936,0.087328,1.000000,0.227888,0.009537,0.026720,0.000000,-0.000127,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762412664.100594,0.046007,0.088945,1.000000,0.227888,0.007021,0.025175,0.000000,-0.000114,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762412664.133902,0.046007,0.088945,1.000000,0.227888,0.007021,0.025175,0.000000,-0.000114,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762412664.167240,0.046083,0.090667,1.000000,0.229219,0.007054,0.025165,0.000000,0.002718,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762412664.200453,0.046083,0.090667,1.000000,0.229219,0.007054,0.025165,0.000000,0.002718,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762412664.233807,0.046164,0.092515,1.000000,0.229219,0.007054,0.025165,0.000000,0.002718,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762412664.267262,0.046164,0.092515,1.000000,0.229219,0.007054,0.025165,0.000000,0.002718,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762412664.300463,0.046203,0.093909,1.000000,0.229078,0.005729,0.021815,0.000000,0.002343,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762412664.333791,0.046203,0.093909,1.000000,0.229078,0.005729,0.021815,0.000000,0.002343,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762412664.367155,0.046246,0.095459,1.000000,0.229078,0.005729,0.021815,0.000000,0.002343,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
