time,x,y,z,yaw,linx,liny,linz,yaw_rate,xd,yd,zd,yawd,vxd,vyd,vzd,wyawd,cmd_linx,cmd_liny,cmd_linz,cmd_angz
1762401108.118383,-0.056640,0.054222,1.000000,1.400533,-0.019104,-0.038612,0.000000,-0.001417,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762401108.151740,-0.056640,0.054222,1.000000,1.400533,-0.019104,-0.038612,0.000000,-0.001417,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762401108.185093,-0.054063,0.052345,1.000000,1.400392,-0.019099,-0.038614,0.000000,-0.001572,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762401108.218388,-0.054063,0.052345,1.000000,1.400392,-0.019099,-0.038614,0.000000,-0.001572,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762401108.251745,-0.054063,0.052345,1.000000,1.400392,-0.019099,-0.038614,0.000000,-0.001572,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762401108.285105,-0.050282,0.049883,1.000000,1.400392,-0.016630,-0.038611,0.000000,-0.001415,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762401108.318370,-0.049455,0.049345,1.000000,1.400392,-0.016630,-0.038611,0.000000,-0.001415,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762401108.351774,-0.049455,0.049345,1.000000,1.400392,-0.016630,-0.038611,0.000000,-0.001415,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762401108.385115,-0.046919,0.047694,1.000000,1.400195,-0.016623,-0.038614,0.000000,-0.001725,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762401108.418474,-0.046919,0.047694,1.000000,1.400195,-0.016623,-0.038614,0.000000,-0.001725,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762401108.451786,-0.044661,0.046224,1.000000,1.400195,-0.016623,-0.038614,0.000000,-0.001725,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762401108.485078,-0.044661,0.046224,1.000000,1.400195,-0.016623,-0.038614,0.000000,-0.001725,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762401108.518389,-0.042293,0.044682,1.000000,1.400195,-0.016623,-0.038614,0.000000,-0.001725,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762401108.551771,-0.042293,0.044682,1.000000,1.400195,-0.016623,-0.038614,0.000000,-0.001725,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762401108.585086,-0.040582,0.043407,1.000000,1.399909,-0.017895,-0.035270,0.000000,-0.001671,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762401108.618428,-0.040582,0.043407,1.000000,1.399909,-0.017895,-0.035270,0.000000,-0.001671,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
