time,x,y,z,yaw,linx,liny,linz,yaw_rate,xd,yd,zd,yawd,vxd,vyd,vzd,wyawd,cmd_linx,cmd_liny,cmd_linz,cmd_angz
1762409940.082180,-0.055727,0.081132,1.000000,0.862659,-0.005035,-0.005648,0.000000,-0.000039,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762409940.115326,-0.055727,0.081132,1.000000,0.862659,-0.005035,-0.005648,0.000000,-0.000039,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762409940.148712,-0.055660,0.080632,1.000000,0.862659,-0.005035,-0.005648,0.000000,-0.000039,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762409940.182151,-0.055660,0.080632,1.000000,0.862659,-0.005035,-0.005648,0.000000,-0.000039,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762409940.215351,-0.055596,0.080160,1.000000,0.862659,-0.005035,-0.005648,0.000000,-0.000039,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762409940.248731,-0.055596,0.080160,1.000000,0.862659,-0.005035,-0.005648,0.000000,-0.000039,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762409940.282206,-0.054269,0.078691,1.000000,0.862894,-0.003723,-0.028829,0.000000,0.000064,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762409940.315517,-0.054269,0.078691,1.000000,0.862894,-0.003723,-0.028829,0.000000,0.000064,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762409940.348691,-0.053030,0.077319,1.000000,0.862894,-0.003723,-0.028829,0.000000,0.000064,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762409940.382042,-0.053030,0.077319,1.000000,0.862894,-0.003723,-0.028829,0.000000,0.000064,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762409940.415322,-0.051139,0.075427,1.000000,0.862894,-0.003073,-0.039403,0.000000,0.000058,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762409940.448700,-0.051139,0.075427,1.000000,0.862894,-0.003073,-0.039403,0.000000,0.000058,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762409940.482119,-0.049056,0.073342,1.000000,0.862636,-0.003062,-0.039404,0.000000,-0.000553,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762409940.515335,-0.049056,0.073342,1.000000,0.862636,-0.003062,-0.039404,0.000000,-0.000553,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762409940.548721,-0.047288,0.071574,1.000000,0.862636,-0.003062,-0.039404,0.000000,-0.000553,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762409940.582012,-0.047288,0.071574,1.000000,0.862636,-0.003062,-0.039404,0.000000,-0.000553,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762409940.615330,-0.045495,0.069779,1.000000,0.862636,-0.003062,-0.039404,0.000000,-0.000553,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762409940.648815,-0.045495,0.069779,1.000000,0.862636,-0.003062,-0.039404,0.000000,-0.000553,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762409940.682155,-0.042767,0.067100,1.000000,0.863465,-0.003351,-0.048460,0.000000,-0.000120,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762409940.715386,-0.042767,0.067100,1.000000,0.863465,-0.003351,-0.048460,0.000000,-0.000120,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762409940.748700,-0.040624,0.064995,1.000000,0.863465,-0.003351,-0.048460,0.000000,-0.000120,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762409940.782047,-0.040624,0.064995,1.000000,0.863465,-0.003351,-0.048460,0.000000,-0.000120,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762409940.815315,-0.038705,0.063374,1.000000,0.863465,0.000230,-0.039654,0.000000,-0.000108,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762409940.848672,-0.038705,0.063374,1.000000,0.863465,0.000230,-0.039654,0.000000,-0.000108,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762409940.882008,-0.036744,0.061717,1.000000,0.862703,0.000260,-0.039654,0.000000,-0.001992,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
